fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,label,quality,price,índice invertido,country,province,taster_name
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,Regular,4,1.0,1581,Spain,Northern Spain,Michael Schachner
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,Muito bom,6,19.0,1580,US,Virginia,Alexander Peartree
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,Muito bom,6,16.0,1579,US,Virginia,Alexander Peartree
7.6,0.39,0.31,2.3,0.08199999999999999,23.0,71.0,0.9982,3.52,0.65,9.7,Bom,5,31.0,1578,US,Oregon,Paul Gregutt
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,Bom,5,38.0,1577,Italy,Sicily & Sardinia,Kerin O’Keefe
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,Bom,5,45.0,1576,US,California,Matt Kettmann
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,Muito bom,6,42.0,1575,Italy,Sicily & Sardinia,Kerin O’Keefe
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,Bom,5,34.0,1574,US,California,Virginie Boone
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,Bom,5,48.0,1573,Italy,Sicily & Sardinia,Kerin O’Keefe
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,Bom,5,9.0,1572,Italy,Sicily & Sardinia,Kerin O’Keefe
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,Bom,5,30.0,1571,Italy,Sicily & Sardinia,Kerin O’Keefe
7.8,0.645,0.0,2.0,0.08199999999999999,8.0,16.0,0.9964,3.38,0.59,9.8,Muito bom,6,27.0,1570,US,California,Virginie Boone
6.7,0.675,0.07,2.4,0.08900000000000001,17.0,82.0,0.9958,3.35,0.54,10.1,Bom,5,14.0,1569,France,Beaujolais,Roger Voss
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,Muito bom,6,10.0,1568,Italy,Sicily & Sardinia,
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,Bom,5,32.0,1567,Italy,Sicily & Sardinia,
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,Muito bom,6,1.0,1566,US,California,
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,Bom,5,27.0,1565,US,California,
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,Muito bom,6,7.0,1564,US,Oregon,Paul Gregutt
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,Muito bom,6,8.0,1563,Chile,Colchagua Valley,Michael Schachner
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,Excelente,7,46.0,1562,Italy,Sicily & Sardinia,
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,Regular,4,8.0,1561,Italy,Southern Italy,
7.3,0.45,0.36,5.9,0.07400000000000001,12.0,87.0,0.9978,3.33,0.83,10.5,Bom,5,9.0,1560,Italy,Sicily & Sardinia,
7.3,0.45,0.36,5.9,0.07400000000000001,12.0,87.0,0.9978,3.33,0.83,10.5,Bom,5,45.0,1559,Italy,Sicily & Sardinia,
8.8,0.61,0.3,2.8,0.08800000000000001,17.0,46.0,0.9976,3.26,0.51,9.3,Regular,4,5.0,1558,US,Oregon,Paul Gregutt
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,Muito bom,6,32.0,1557,France,Beaujolais,Roger Voss
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,Bom,5,13.0,1556,US,California,
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,Bom,5,5.0,1555,Chile,Maule Valley,Michael Schachner
4.6,0.52,0.15,2.1,0.054000000000000006,8.0,65.0,0.9934,3.9,0.56,13.1,Regular,4,14.0,1554,US,Virginia,
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,Bom,5,8.0,1553,Italy,Sicily & Sardinia,
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,Bom,5,13.0,1552,US,California,
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,Bom,5,41.0,1551,US,Virginia,
5.6,0.31,0.37,1.4,0.07400000000000001,12.0,96.0,0.9954,3.32,0.58,9.2,Bom,5,14.0,1550,France,Beaujolais,Roger Voss
8.8,0.66,0.26,1.7,0.07400000000000001,4.0,23.0,0.9971,3.15,0.74,9.2,Bom,5,26.0,1549,Italy,Sicily & Sardinia,
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,Muito bom,6,34.0,1548,Chile,Colchagua Valley,Michael Schachner
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,Muito bom,6,19.0,1547,Italy,Sicily & Sardinia,
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,Bom,5,25.0,1546,France,Bordeaux,Roger Voss
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,Muito bom,6,10.0,1545,Italy,Sicily & Sardinia,
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,Bom,5,23.0,1544,US,California,
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,Bom,5,23.0,1543,US,California,Virginie Boone
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,Bom,5,35.0,1542,Italy,Sicily & Sardinia,
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,Bom,5,33.0,1541,Chile,Maipo Valley,Michael Schachner
7.3,0.39,0.31,2.4,0.07400000000000001,9.0,46.0,0.9962,3.41,0.54,9.4,Muito bom,6,14.0,1540,US,Washington,Sean P. Sullivan
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,Bom,5,2.0,1539,US,California,Virginie Boone
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,Bom,5,49.0,1538,Italy,Central Italy,Kerin O’Keefe
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,Excelente,7,41.0,1537,US,Washington,Sean P. Sullivan
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,Bom,5,14.0,1536,France,Champagne,Roger Voss
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,Bom,5,32.0,1535,US,California,Matt Kettmann
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,Bom,5,48.0,1534,France,Burgundy,Roger Voss
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,Bom,5,33.0,1533,France,Burgundy,Roger Voss
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,Bom,5,41.0,1532,US,Washington,Sean P. Sullivan
9.3,0.32,0.57,2.0,0.07400000000000001,27.0,65.0,0.9969,3.28,0.79,10.7,Bom,5,11.0,1531,US,California,Jim Gordon
8.0,0.705,0.05,1.9,0.07400000000000001,8.0,19.0,0.9962,3.34,0.95,10.5,Muito bom,6,32.0,1530,France,Champagne,Roger Voss
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,Muito bom,6,49.0,1529,US,Washington,Sean P. Sullivan
7.7,0.67,0.23,2.1,0.08800000000000001,17.0,96.0,0.9962,3.32,0.48,9.5,Bom,5,41.0,1528,US,California,Virginie Boone
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,Bom,5,13.0,1527,Italy,Southern Italy,Kerin O’Keefe
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,Regular,4,22.0,1526,US,California,Virginie Boone
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,Bom,5,20.0,1525,US,California,Virginie Boone
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,Bom,5,22.0,1524,US,California,Virginie Boone
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,Bom,5,44.0,1523,Germany,Rheinhessen,Anna Lee C. Iijima
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,Muito bom,6,11.0,1522,Australia,South Australia,Joe Czerwinski
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,Bom,5,13.0,1521,US,Oregon,Paul Gregutt
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,Regular,4,8.0,1520,Portugal,Tejo,Roger Voss
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,Bom,5,46.0,1519,Chile,Rapel Valley,Michael Schachner
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,Bom,5,36.0,1518,Spain,Galicia,Michael Schachner
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,Bom,5,42.0,1517,France,France Other,Roger Voss
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,Bom,5,5.0,1516,Australia,South Australia,Joe Czerwinski
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,Muito bom,6,1.0,1515,US,California,Virginie Boone
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,Bom,5,25.0,1514,Germany,Rheinhessen,Anna Lee C. Iijima
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,Muito bom,6,31.0,1513,US,Washington,Sean P. Sullivan
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,Bom,5,45.0,1512,US,California,Virginie Boone
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,Bom,5,18.0,1511,Italy,Tuscany,Kerin O’Keefe
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,Bom,5,48.0,1510,Italy,Tuscany,Kerin O’Keefe
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,Bom,5,8.0,1509,US,California,Virginie Boone
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,Muito bom,6,2.0,1508,US,California,Virginie Boone
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,Bom,5,12.0,1507,US,California,Virginie Boone
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,Bom,5,48.0,1506,Austria,Burgenland,Anne Krebiehl MW
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,Regular,4,32.0,1505,US,Washington,Sean P. Sullivan
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,Muito bom,6,43.0,1504,France,Beaujolais,Roger Voss
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,Bom,5,12.0,1503,France,Beaujolais,Roger Voss
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,Bom,5,10.0,1502,US,New York,Anna Lee C. Iijima
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,Bom,5,48.0,1501,Italy,Tuscany,Kerin O’Keefe
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,Muito bom,6,23.0,1500,US,California,Virginie Boone
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,Muito bom,6,25.0,1499,US,New York,Anna Lee C. Iijima
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,Muito bom,6,1.0,1498,US,New York,Anna Lee C. Iijima
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,Muito bom,6,1.0,1497,US,New York,Anna Lee C. Iijima
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,Bom,5,48.0,1496,Chile,Leyda Valley,Michael Schachner
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,Bom,5,4.0,1495,Italy,Tuscany,Kerin O’Keefe
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,Bom,5,49.0,1494,Italy,Tuscany,Kerin O’Keefe
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,Bom,5,46.0,1493,Italy,Tuscany,Kerin O’Keefe
6.2,0.63,0.31,1.7,0.08800000000000001,15.0,64.0,0.9969,3.46,0.79,9.3,Bom,5,11.0,1492,Italy,Tuscany,Kerin O’Keefe
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,Muito bom,6,36.0,1491,US,California,Matt Kettmann
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,Bom,5,40.0,1490,Italy,Tuscany,Kerin O’Keefe
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,Bom,5,7.0,1489,France,Beaujolais,Roger Voss
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,Bom,5,15.0,1488,US,California,Virginie Boone
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,Bom,5,25.0,1487,Italy,Tuscany,Kerin O’Keefe
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,Muito bom,6,46.0,1486,Italy,Tuscany,Kerin O’Keefe
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,Bom,5,12.0,1485,US,California,Matt Kettmann
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,Muito bom,6,49.0,1484,US,California,Matt Kettmann
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,Muito bom,6,18.0,1483,US,California,Matt Kettmann
7.8,0.56,0.12,2.0,0.08199999999999999,7.0,28.0,0.997,3.37,0.5,9.4,Muito bom,6,4.0,1482,US,California,Matt Kettmann
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,Muito bom,6,42.0,1481,Italy,Tuscany,Kerin O’Keefe
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,Muito bom,6,47.0,1480,France,Alsace,
7.3,1.07,0.09,1.7,0.17800000000000002,10.0,89.0,0.9962,3.3,0.57,9.0,Bom,5,40.0,1479,Italy,Piedmont,
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,Muito bom,6,29.0,1478,US,California,
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,Bom,5,35.0,1477,US,California,
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,Bom,5,27.0,1476,Australia,South Australia,Joe Czerwinski
7.8,0.5,0.17,1.6,0.08199999999999999,21.0,102.0,0.996,3.39,0.48,9.5,Bom,5,31.0,1475,US,California,
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,Bom,5,21.0,1474,South Africa,Stellenbosch,Roger Voss
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,Bom,5,2.0,1473,France,Alsace,
8.1,1.33,0.0,1.8,0.08199999999999999,3.0,12.0,0.9964,3.54,0.48,10.9,Bom,5,2.0,1472,France,Alsace,
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,Excelente,7,41.0,1471,France,Alsace,
6.1,0.38,0.15,1.8,0.07200000000000001,6.0,19.0,0.9955,3.42,0.57,9.4,Bom,5,37.0,1470,South Africa,Stellenbosch,
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,Bom,5,28.0,1469,Italy,Piedmont,
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,Bom,5,48.0,1468,France,Alsace,
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,Bom,5,4.0,1467,South Africa,Simonsberg-Stellenbosch,Roger Voss
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,Muito bom,6,23.0,1466,Italy,Piedmont,
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,Muito bom,6,5.0,1465,US,California,
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,Bom,5,43.0,1464,Italy,Piedmont,
8.3,0.715,0.15,1.8,0.08900000000000001,10.0,52.0,0.9968,3.23,0.77,9.5,Bom,5,45.0,1463,France,Bordeaux,Joe Czerwinski
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,Bom,5,3.0,1462,South Africa,Walker Bay,Roger Voss
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,Bom,5,5.0,1461,France,Alsace,
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,Bom,5,48.0,1460,France,Alsace,
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,Bom,5,8.0,1459,Italy,Piedmont,
8.3,0.715,0.15,1.8,0.08900000000000001,10.0,52.0,0.9968,3.23,0.77,9.5,Bom,5,38.0,1458,Italy,Piedmont,
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,Muito bom,6,22.0,1457,US,California,
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,Bom,5,33.0,1456,France,Alsace,
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,Muito bom,6,15.0,1455,US,California,Virginie Boone
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,Bom,5,38.0,1454,US,California,Matt Kettmann
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,Bom,5,19.0,1453,US,California,Matt Kettmann
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,Bom,5,27.0,1452,US,California,Matt Kettmann
6.9,0.49,0.1,2.3,0.07400000000000001,12.0,30.0,0.9959,3.42,0.58,10.2,Muito bom,6,34.0,1451,Germany,Rheinhessen,Anna Lee C. Iijima
8.2,0.4,0.44,2.8,0.08900000000000001,11.0,43.0,0.9975,3.53,0.61,10.5,Muito bom,6,39.0,1450,US,California,Matt Kettmann
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,Muito bom,6,7.0,1449,US,California,Virginie Boone
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,Regular,4,23.0,1448,Portugal,Alentejano,Roger Voss
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,Bom,5,3.0,1447,US,California,Matt Kettmann
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,Bom,5,12.0,1446,US,California,Matt Kettmann
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,Bom,5,35.0,1445,Spain,Central Spain,Michael Schachner
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,Bom,5,10.0,1444,US,California,Matt Kettmann
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,Bom,5,25.0,1443,Germany,Mosel,Anna Lee C. Iijima
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,Bom,5,50.0,1442,Portugal,Alentejano,Roger Voss
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,Bom,5,43.0,1441,Italy,Tuscany,Kerin O’Keefe
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,Muito bom,6,27.0,1440,Italy,Tuscany,Kerin O’Keefe
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,Bom,5,30.0,1439,France,Southwest France,Roger Voss
7.6,0.68,0.02,1.3,0.07200000000000001,9.0,20.0,0.9965,3.17,1.08,9.2,Regular,4,21.0,1438,US,California,Matt Kettmann
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,Muito bom,6,12.0,1437,US,California,Matt Kettmann
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,Bom,5,30.0,1436,France,Beaujolais,Roger Voss
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,Bom,5,3.0,1435,Chile,Aconcagua Valley,Michael Schachner
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,Bom,5,10.0,1434,Chile,Maipo Valley,Michael Schachner
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,Bom,5,43.0,1433,France,Southwest France,Roger Voss
7.3,0.55,0.03,1.6,0.07200000000000001,17.0,42.0,0.9956,3.37,0.48,9.0,Regular,4,13.0,1432,US,California,Matt Kettmann
6.8,0.63,0.07,2.1,0.08900000000000001,11.0,44.0,0.9953,3.47,0.55,10.4,Muito bom,6,15.0,1431,US,California,Virginie Boone
7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59,9.5,Bom,5,26.0,1430,US,California,Virginie Boone
7.9,0.885,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33,9.1,Regular,4,26.0,1429,Germany,Mosel,Anna Lee C. Iijima
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,Muito bom,6,3.0,1428,Germany,Mosel,Anna Lee C. Iijima
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,Muito bom,6,23.0,1427,Chile,Loncomilla Valley,Michael Schachner
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,Muito bom,6,15.0,1426,US,Oregon,Paul Gregutt
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,Bom,5,2.0,1425,New Zealand,Marlborough,Joe Czerwinski
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,Bom,5,44.0,1424,Italy,Northeastern Italy,
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,Bom,5,48.0,1423,Chile,Maipo Valley,Michael Schachner
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,Muito bom,6,31.0,1422,Italy,Tuscany,
7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,Bom,5,4.0,1421,US,California,
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,Bom,5,27.0,1420,France,Burgundy,Roger Voss
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,Bom,5,27.0,1419,US,California,
8.9,0.61,0.49,2.0,0.27,23.0,110.0,0.9972,3.12,1.02,9.3,Bom,5,43.0,1418,US,California,
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,Bom,5,47.0,1417,Italy,Tuscany,
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,Bom,5,5.0,1416,Argentina,Other,Michael Schachner
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,Muito bom,6,38.0,1415,US,California,
